time,coord,is_anomalous,mse_percentage,threshold
2023-10-11 13:16:30,-156.57657142857144,True,100.0,65
2023-10-11 13:16:33,-152.38771428571428,True,94.82669575036954,65
2023-10-11 13:16:36,-146.15942857142858,True,87.36560094093332,65
2023-10-11 13:16:39,-137.8757142857143,True,77.88376026704728,65
2023-10-11 13:16:42,-127.5185714285714,True,66.75612779099826,65
2023-10-11 13:16:45,-117.16142857142859,False,56.455069907129065,65
2023-10-11 13:16:48,-106.80428571428573,False,46.992410987342595,65
2023-10-11 13:16:51,-94.12457142857143,False,36.577091361354555,65
2023-10-11 13:16:54,-86.90828571428571,False,31.23383584740454,65
2023-10-11 13:16:57,-84.99142857142859,False,29.885471469691783,65
2023-10-11 13:17:00,-92.082,False,35.02249642518083,65
2023-10-11 13:17:03,-40.327999999999996,False,6.94201681346312,65
2023-10-11 13:17:06,8.201999999999993,False,0.19100272971158738,65
2023-10-11 13:17:09,-0.7379999999999995,False,0.008493797038694332,65
2023-10-11 13:17:12,-6.380000000000001,False,0.22593847362195074,65
2023-10-11 13:17:15,-5.051999999999995,False,0.15157246204481317,65
2023-10-11 13:17:18,-75.53999999999999,False,23.675500454418533,65
2023-10-11 13:17:21,-143.018,True,83.70992420028095,65
2023-10-11 13:17:24,-138.762,True,78.87381136282521,65
2023-10-11 13:17:27,-129.346,True,68.65987459327381,65
2023-10-11 13:17:30,-120.61200000000001,False,59.79430979908108,65
2023-10-11 13:17:33,-101.936,False,42.83850493828429,65
2023-10-11 13:17:36,-92.804,False,35.568237435171554,65
2023-10-11 13:17:39,-37.269999999999996,False,5.956934046999822,65
2023-10-11 13:17:42,12.985999999999995,False,0.5526013689931971,65
2023-10-11 13:17:45,4.096000000000001,False,0.027067799831480173,65
2023-10-11 13:17:48,-3.7760000000000047,False,0.09356808949619692,65
2023-10-11 13:17:51,-6.213999999999999,False,0.21585948246247022,65
2023-10-11 13:17:54,-73.89000000000001,False,22.664283846381863,65
2023-10-11 13:17:57,-141.73,True,82.23213631288144,65
2023-10-11 13:18:00,-137.458,True,77.41919055855547,65
2023-10-11 13:18:03,-125.23999999999998,False,64.41848365283654,65
2023-10-11 13:18:06,-113.07800000000002,False,52.623677202635236,65
2023-10-11 13:18:09,-97.214,False,38.993073651415514,65
2023-10-11 13:18:12,-86.66600000000001,False,31.061637271155888,65
2023-10-11 13:18:15,-31.105999999999995,False,4.215428593924055,65
2023-10-11 13:18:18,16.381999999999998,False,0.920105767110436,65
2023-10-11 13:18:21,45.803999999999995,False,7.957530468121914,65
2023-10-11 13:18:24,37.87399999999999,False,5.378379086371782,65
2023-10-11 13:18:27,35.53399999999998,False,4.713572000173203,65
2023-10-11 13:18:30,17.767999999999994,False,1.096507349845989,65
2023-10-11 13:18:33,-0.08799999999999955,False,0.0,65
2023-10-11 13:18:36,-48.388,False,9.882472694040255,65
2023-10-11 13:18:39,-38.96,False,6.491382999692741,65
2023-10-11 13:18:42,-29.560000000000002,False,3.8235411080369777,65
2023-10-11 13:18:45,-62.718,False,16.380074964977133,65
2023-10-11 13:18:48,-102.08800000000001,False,42.96536058533476,65
2023-10-11 13:18:51,-92.90400000000001,False,35.644150691840856,65
2023-10-11 13:18:54,-42.56800000000001,False,7.710521106424421,65
2023-10-11 13:18:57,-11.569999999999997,False,0.6538137077852723,65
2023-10-11 13:19:00,-20.522,False,1.9058727579314987,65
2023-10-11 13:19:03,-23.028,False,2.3725271634026543,65
2023-10-11 13:19:06,-25.677999999999997,False,2.9207243345768275,65
2023-10-11 13:19:09,-44.816,False,8.518255434006264,65
2023-10-11 13:19:12,-92.01200000000001,False,34.969804780336915,65
2023-10-11 13:19:15,-88.66600000000001,False,32.49705550328187,65
2023-10-11 13:19:18,-76.418,False,24.222405708402228,65
2023-10-11 13:19:21,-67.356,False,18.871265954616216,65
2023-10-11 13:19:24,-105.602,False,45.94899774067336,65
2023-10-11 13:19:27,-96.44999999999999,False,38.38826837902627,65
2023-10-11 13:19:30,-39.916,False,6.804842528267277,65
2023-10-11 13:19:33,-60.489999999999995,False,15.260683097359228,65
2023-10-11 13:19:36,-69.388,False,20.015435720927517,65
2023-10-11 13:19:39,-71.69200000000001,False,21.35083401394719,65
2023-10-11 13:19:42,-73.988,False,22.72373965782377,65
2023-10-11 13:19:45,-141.594,True,82.07681423984641,65
2023-10-11 13:19:48,-139.876,True,80.12659846302131,65
2023-10-11 13:19:51,-137.71599999999998,True,77.70597605521257,65
2023-10-11 13:19:54,-128.37000000000003,True,67.63991446841939,65
2023-10-11 13:19:57,-119.68199999999999,False,58.885172449870396,65
2023-10-11 13:20:00,-101.99600000000001,False,42.8885579937165,65
2023-10-11 13:20:03,-92.83399999999999,False,35.591003040977206,65
2023-10-11 13:20:06,-35.206,False,5.340118629089498,65
2023-10-11 13:20:09,15.070000000000011,False,0.7672258301157339,65
2023-10-11 13:20:12,6.122,False,0.09097115255728627,65
2023-10-11 13:20:15,-3.6499999999999972,False,0.08855481713742881,65
2023-10-11 13:20:18,-6.126000000000007,False,0.21060718809476162,65
2023-10-11 13:20:21,-22.378,False,2.246630794138488,65
2023-10-11 13:20:24,-41.446000000000005,False,7.3208124785190964,65
2023-10-11 13:20:27,-40.222,False,6.906598429360961,65
2023-10-11 13:20:30,-28.088,False,3.4674278147948776,65
2023-10-11 13:20:33,-19.258000000000003,False,1.6896218915690355,65
2023-10-11 13:20:36,-51.934000000000005,False,11.337938523531356,65
2023-10-11 13:20:39,-90.194,False,33.61512045463815,65
